3600,1343.4,0.3397
3625,1202.72,0.3372
3650,1226,0.3338
3700,1221.41,0.3282
3750,983.7,0.3155
3775,725.7,0.2030
3800,1157,0.3157
3825,1091.74,0.3161
3850,779.94,0.2451
3875,765.23,0.2435
3900,1052.08,0.3031
3925,905.19,0.3009
3950,696.1,0.2234
3975,822.02,0.2958
4000,993.47,0.2913
4025,650.81,0.2216
4050,793.63,0.2855
4075,904.5,0.2865
4100,872.13,0.2803
4125,572.66,0.2060
4150,816.6,0.2741
4175,399.22,0.2714
4200,788.66,0.2688
4225,624.29,0.2675
4250,739.7,0.2629
4275,469.04,0.1750
4300,712.55,0.2572
4325,552.92,0.2562
4350,695.23,0.2514
4375,562.42,0.2487
4400,635.4,0.2469
4425,489.62,0.2439
4450,618.51,0.2409
4475,562.14,0.2389
4500,559.88,0.2354
4525,525.54,0.2334
4550,511.88,0.2298
4575,530.92,0.2274
4600,481.32,0.2246
4625,499.01,0.2224
4650,479.04,0.2193
4675,434.49,0.2165
4700,417.6,0.2137
4725,395.37,0.2110
4750,386,0.2082
4775,371.97,0.2063
4800,347.77,0.2031
4825,334.87,0.2009
4850,320.32,0.1981
4875,307.5,0.1951
4900,289.84,0.1927
4925,292.3,0.1907
4950,268.12,0.1883
4975,260.6,0.1855
5000,233.85,0.1827
5025,220.33,0.1806
5050,210.99,0.1780
5075,186.66,0.1758
5100,184.3,0.1734
5125,174.62,0.1716
5150,166.1,0.1691
5175,154.63,0.1674
5200,145,0.1653
5225,130.14,0.1634
5250,125.43,0.1612
5275,114.31,0.1596
5300,126,0.1579
5325,100.37,0.1561
5350,92.96,0.1543
5375,86.77,0.1530
